asset_name,frequency,model_variant,beta,gamma,best_epoch,best_val_loss,MAE,RMSE,MSE,R2,Trend_Acc,ATR_mean,roll_return_std,grid_case_beta,grid_case_gamma
I,daily,DENet_learnable,0.11617878079414368,0.12812776863574982,172,0.0010995430555859847,12.427663402154547,16.605380737336482,275.7386694319055,0.9574554950081872,50.112866817155755,0.028750211557756762,0.006949225039808485,,
I,daily,DENet_fixed_gridcase,1.0,1.0,177,0.0012264722692114966,12.565126403427383,16.960022904886188,287.6423769342641,0.9556188380594227,51.24153498871332,0.028750211557756762,0.006949225039808485,1.0,1.0
I,daily,DENet_fixed_gridcase,0.0,0.0,177,0.0013829400247362042,12.943303172534268,17.303510566710344,299.41147793225656,0.9538029499317624,50.338600451467265,0.028750211557756762,0.006949225039808485,0.0,0.0
I,daily,DENet_fixed_gridcase,0.009999999776482582,0.009999999776482582,174,0.0011075360983211016,12.579142020136667,16.792564256413613,281.9902143057801,0.9564909263365494,45.146726862302486,0.028750211557756762,0.006949225039808485,0.01,0.01
I,daily,DENet_fixed_gridcase,0.05000000074505806,0.05000000074505806,179,0.0011828703157204603,12.700045530615002,16.933527314992507,286.7443473275973,0.9557573976062659,48.081264108352144,0.028750211557756762,0.006949225039808485,0.05,0.05
I,daily,DENet_fixed_gridcase,0.10000000149011612,0.009999999776482582,178,0.001291558487407331,12.967005477389712,17.158153619076007,294.4022356158111,0.9545758402020182,46.04966139954853,0.028750211557756762,0.006949225039808485,0.1,0.01
I,daily,DENet_fixed_gridcase,0.10000000149011612,0.05000000074505806,171,0.0010977015564484255,12.599790457740674,16.750187060058625,280.56876654695543,0.956710245561508,46.27539503386004,0.028750211557756762,0.006949225039808485,0.1,0.05
I,daily,DENet_fixed_gridcase,0.10000000149011612,0.10000000149011612,166,0.001126192377081939,12.575921504963942,16.78551570829505,281.75353759341994,0.9565274438608821,49.66139954853273,0.028750211557756762,0.006949225039808485,0.1,0.1
I,daily,DENet_fixed_gridcase,0.20000000298023224,0.009999999776482582,172,0.0011447384105330066,12.622447349964016,16.8280116222952,283.1819751601023,0.9563070461585526,48.306997742663654,0.028750211557756762,0.006949225039808485,0.2,0.01
I,daily,DENet_fixed_gridcase,0.20000000298023224,0.05000000074505806,178,0.001249309238379023,12.92446776439175,17.107481668887342,292.6659290513164,0.9548437398892571,45.146726862302486,0.028750211557756762,0.006949225039808485,0.2,0.05
I,daily,DENet_fixed_gridcase,0.20000000298023224,0.10000000149011612,179,0.001210835438022124,12.672123248242544,16.95686815971107,287.5353777858231,0.9556353472629172,48.75846501128668,0.028750211557756762,0.006949225039808485,0.2,0.1
I,daily,DENet_fixed_gridcase,0.20000000298023224,0.20000000298023224,168,0.0012832533435097762,12.949768644509414,17.193612848392213,295.62032278039777,0.9543878980625969,46.04966139954853,0.028750211557756762,0.006949225039808485,0.2,0.2
I,daily,DENet_fixed_gridcase,0.5,0.10000000149011612,162,0.001366403535939753,13.085362325681803,17.451669705759837,304.5607755189356,0.9530084501347911,51.46726862302483,0.028750211557756762,0.006949225039808485,0.5,0.1
